latitude,longitude,list_of_profile_keys,list_of_profiles,list_of_reference_keys,list_of_method_keys,timestamp_min,timestamp_max,num_measurements
-90.0,0.0,1937 / 2580 / 2581,NA / SP 15 FC1 / SP 15 FC2,190 / 250,4.0,2001-01-01,2015-12-01,4969
-89.9333,144.393799,1,US_ITASE-02-6 (SPRESSO),1,4.0,2002-01-01,2002-01-01,138
-89.54,137.04,2567 / 2568 / 2569 / 2570,USP50_density_106 / USP50_density_126 / USP50_density_nicl / USP50_density_pit,242,4.0,2016-12-01,2016-12-01,273
-88.5095,178.530807,2,US_ITASE-07-4,1,4.0,2007-01-01,2007-01-01,103
-88.0022,-107.983299,3,US_ITASE-02-5,1,4.0,2002-01-01,2002-01-01,54
-86.84,95.309998,4,US_ITASE-03-1,1,4.0,2003-01-01,2003-01-01,19
-86.5025,-107.990303,5,US_ITASE-02-4,1,4.0,2002-01-01,2002-01-01,72
-85.7819,145.719498,6,US_ITASE-07-3,1,4.0,2007-01-01,2007-01-01,43
-85.25,166.5,2459,Dominion Range,218,nan,1984-12-01,1984-12-01,0
-85.0005,-104.9953,7,US_ITASE-02-3,1,4.0,2002-01-01,2002-01-01,45
-84.81833,-59.634998,789,FRI38C95_04,114,4.0,1995-02-16,1995-02-16,310
-84.3951,140.630798,8,US_ITASE-07-2,1,4.0,2007-01-01,2007-01-01,52
-83.91833,-60.360001,799,FRI37C95_05,124,4.0,1995-02-16,1995-02-16,224
-83.5008,-104.986801,9,US_ITASE-02-2,1,4.0,2002-01-01,2002-01-01,63
-83.477778,-138.096944,2541,Upstream B,227,nan,1986-01-01,1986-01-01,0
-83.477778,138.096944,2540,Talyor Dome,232,nan,1994-01-01,1994-01-01,0
-83.385,-60.063332,803,FRI36C95_02,128,4.0,1995-02-08,1995-02-08,172
-83.16667,-59.575001,812,FRI35C95_01,137,4.0,1995-02-04,1995-02-04,188
-82.891944,-136.660278,2515,Ridge B-C,227,nan,1986-01-01,1986-01-01,0
-82.75,-58.691669,784,FRI34C95_03,109,4.0,1995-02-12,1995-02-12,49
-82.335,-57.826672,798,FRI33C95_06,123,4.0,1995-02-18,1995-02-18,207
-82.08,101.959999,10,US_ITASE-03-3,1,4.0,2003-01-01,2003-01-01,13
-82.001,-110.008202,11,US_ITASE-02-1,1,4.0,2002-01-01,2002-01-01,63
-81.658,136.084,12,US_ITASE-07-1,1,4.0,2007-01-01,2007-01-01,49
