latitude,longitude,list_of_profile_keys,list_of_profiles,list_of_reference_keys,list_of_method_keys,timestamp_min,timestamp_max,num_measurements
63.0,-48.0,64,PARCA_6348_1998,7,4.0,1998-05-01,1998-05-01,16
63.148904,-44.817395,2141 / 2163 / 2164,SDM_SDM (Core 1) / GC-Net_SDM_2023_core / GC-Net_SDM_2023_snowpit,202,6.0,2021-06-21,2023-06-11,102
63.149,-44.817001,65,PARCA_SDOMEA_1997,7,4.0,1997-05-01,1997-05-01,66
63.149,-44.817,2067 / 2098,GC-Net_South Dome,202,6.0,2009-05-15,2013-05-21,40
63.8,-45.0,66,PARCA_6345_1998,7,4.0,1998-05-01,1998-05-01,16
64.6333,-43.666599,556,NA,18,6.0,1988-05-31,1988-05-31,16
64.7666,-44.1166,555,NA,18,6.0,1988-05-28,1988-05-28,20
64.849801,-43.346763,2020 / 2021,1D (3001) / 8D (3008),201,4.0,1981-01-01,1981-01-01,247
64.93288,-44.403215,2016,U3 (2003),201,4.0,1981-01-01,1981-01-01,128
64.981511,-45.973455,2017,U4 (2004),201,4.0,1981-01-01,1981-01-01,140
65.1,-44.869999,562,NA,20,4.0,1984-06-01,1984-06-01,270
65.183333,-43.833333,2461 / 2462 / 2463 / 2464 / 2465 / 2466 / 2467,Dye3-11B-1984 / Dye3-15B-1984 / Dye3-16C-1984 / Dye3-4B-1983 / Dye3-5B-1984 / Dye3-9B-1984 / Dye3-station1-1983,220,nan,1983-01-01,1983-01-01,0
65.246864,-44.591006,2019,U7 (2007),201,4.0,1981-01-01,1981-01-01,126
65.29296,-45.833734,2000,BPRC_1993,198,4.0,1993-01-01,1993-01-01,214
65.293002,-44.16584,2018,U6 (2006),201,4.0,1981-01-01,1981-01-01,106
65.387634,-46.327013,2014 / 2015,L2 (12.18) / L5 (15.12),201,4.0,1981-01-01,1981-01-01,388
65.387732,-46.326297,2013,L1 (1001),201,4.0,1981-01-01,1981-01-01,171
65.535919,-38.966667,2151,Nanok_PIT 01,202,6.0,2022-04-19,2022-04-19,11
65.69671,-41.48068,2444,ACT10A,5,4.0,2010-01-01,2010-01-01,48
65.77511,-41.86719,2445,ACT10B,5,4.0,2010-01-01,2010-01-01,51
65.996344,-44.511133,2160,Nanok_PIT 10,202,6.0,2022-05-11,2022-05-11,23
65.99927,-44.502369,672,NA,46,4.0,2015-05-16,2015-05-16,80
65.99934,-44.502335,670,NA,46,4.0,2015-05-16,2015-05-16,156
65.99934,-44.502029,656,NA,43,4.0,2015-05-16,2015-05-16,155
65.9994,-44.50248,688 / 695,NA,46,4.0,2016-05-06,2017-05-08,404
65.9994,-44.50214,671,NA,46,4.0,2015-05-16,2015-05-16,21
65.99971,-42.78305,2446,ACT10C,5,4.0,2010-01-01,2010-01-01,50
65.99989,-44.50256,2112,ACT_Saddle,202,6.0,2017-05-08,2017-05-08,16
66.0,-44.500999,67,PARCA_NDYE3A&B_1997,7,4.0,1997-05-01,1997-05-01,42
66.000153,-44.502627,2165,GC-Net_SDL_2023_core,202,6.0,2023-06-15,2023-06-15,87
66.001,-44.501,2041 / 2055 / 2082 / 2100,GC-Net_Saddle,202,6.0,1999-04-16,2013-05-22,108
66.027019,-45.126242,2159,Nanok_PIT 09,202,6.0,2022-05-09,2022-05-09,15
66.17926,-39.02047,2447,ACT11A2,5,4.0,2011-01-01,2011-01-01,10
66.1812,-39.0435,2452 / 2453,FA13A / FA14,5,4.0,2013-01-01,2014-01-01,291
66.1812,-39.043499,57,FA13B,4,4.0,2013-04-08,2013-04-08,170
66.18388,-39.07833,2448,ACT11A,5,4.0,2011-01-01,2011-01-01,25
66.21741,-39.56583,2449,ACT11B,5,4.0,2011-01-01,2011-01-01,60
66.29109,-40.7459,2450,ACT11C,5,4.0,2011-01-01,2011-01-01,60
66.323714,-45.741839,2158,Nanok_PIT 08,202,6.0,2022-05-06,2022-05-06,15
66.35294,-39.1348,959,NA,172,4.0,2016-08-01,2016-08-01,260
66.3548,-39.178799,956,NA,172,4.0,2015-08-02,2015-08-02,172
66.35798,-39.239101,958,NA,172,4.0,2016-07-28,2016-07-28,202
66.36036,-39.287399,957,NA,172,4.0,2016-07-16,2016-07-16,185
66.3622,-39.311901,955,NA,172,4.0,2015-04-12,2015-04-12,200
66.4726,-46.282983,2556,DYE-2,236,4.0,1963-04-16,1963-04-16,297
66.4726,-46.282982,648 / 692 / 696 / 697,NA,43 / 46,4.0,2013-05-04,2017-05-12,694
66.477564,-42.493151,2162,GC-Net_NSE_2023_core,202,6.0,2023-06-09,2023-06-09,79
66.47758,-46.28472,2177 / 2178,Dye 2 (Raven) Core A / Dye 2 (Raven) Core B,7,4.0,1998-05-12,1998-05-13,120
66.477585,-46.284718,647,NA,43,4.0,2013-05-04,2013-05-04,165
66.47768,-42.496349,687 / 694,NA,46,4.0,2016-05-04,2017-05-06,384
66.47769,-42.496445,669,NA,46,4.0,2015-05-12,2015-05-12,151
66.47769,-42.496189,668,NA,46,4.0,2015-05-12,2015-05-12,82
66.47771,-46.28606,673,NA,46,4.0,2015-05-20,2015-05-20,179
66.47784,-42.496571,667,NA,46,4.0,2015-05-12,2015-05-12,22
66.47786,-42.496387,666,NA,46,4.0,2015-05-12,2015-05-12,162
66.47787,-46.28674,1953,NA,194,4.0,2018-05-09,2018-05-09,159
66.47794,-42.49506,2111 / 2139,ACT_NASA-SE / GC-Net_NASA-E,202,6.0,2017-05-06,2021-08-18,30
66.47799,-46.28674,1957,NA,194,4.0,2018-05-18,2018-05-18,49
66.47802,-46.2869,1956,NA,194,4.0,2018-05-18,2018-05-18,49
66.478035,-46.287125,1948,NA,194,4.0,2017-05-13,2017-05-13,202
66.478045,-46.288701,1958,NA,194,4.0,2019-05-19,2019-05-19,133
66.47807,-46.2872,1954,NA,194,4.0,2018-05-18,2018-05-18,45
66.47807,-46.28716,1955,NA,194,4.0,2018-05-18,2018-05-18,47
66.479,-42.5,2040 / 2054 / 2065 / 2099,GC-Net_NASA-SE,202,6.0,1999-04-21,2013-05-22,79
66.479422,-46.309558,2451,ACT11D,5,4.0,2011-01-01,2011-01-01,59
66.481,-46.28,2068 / 2081,GC-Net_DYE-2,202,6.0,2009-05-16,2010-05-01,56
66.481,-42.28,2056,GC-Net_DYE-2,202,6.0,2008-05-03,2008-05-03,25
66.48197,-46.29078,2110,ACT_DYE-2 Pit 01,202,6.0,2016-04-24,2016-04-24,14
66.482,-46.291,2147 / 2166 / 2167,GC-Net_DYE-2 (Therm Core) / GC-Net_DY2_2023_core / GC-Net_DY2_2023_snowpit,202,6.0,2022-06-15,2023-06-14,147
66.49835,-49.6816,2140,NSE_NSE (Core 1),202,6.0,2021-06-19,2021-06-19,5
66.5,-42.5,68,PARCA_6642B_1998,7,4.0,1998-05-01,1998-05-01,27
66.526713,-46.947493,1964,NA,194,4.0,2019-05-21,2019-05-21,169
66.527397,-46.886639,1945,NA,194,4.0,2017-05-14,2017-05-14,145
66.535118,-45.959187,1949,NA,194,4.0,2017-05-16,2017-05-16,152
66.54686,-47.0239,1965 / 1967,NA,194,4.0,2019-05-26,2019-05-28,211
66.553826,-47.067409,1966,NA,194,4.0,2019-05-27,2019-05-27,127
66.560024,-47.105702,1968,NA,194,4.0,2019-05-23,2019-05-23,124
66.5833,-45.5,552,NA,18,6.0,1988-05-16,1988-05-16,10
66.63205,-46.89497,657 / 664,NA,43 / 45,4.0,2015-05-20,2017-05-12,156
66.641844,-47.050603,2157,Nanok_PIT 07,202,6.0,2022-05-01,2022-05-01,7
66.704456,-47.3623,2156,Nanok_PIT 06,202,6.0,2022-04-30,2022-04-30,15
66.840986,-48.002694,2155,Nanok_PIT 05,202,6.0,2022-04-27,2022-04-27,5
66.864952,-46.265141,1946 / 1947,NA,194,4.0,2017-04-28,2017-05-01,215
66.87,-46.26,2286,Site J,206,4.0,1989-06-01,1989-06-01,635
66.947653,-48.490583,2154,Nanok_PIT 04,202,6.0,2022-04-25,2022-04-25,15
66.95,-44.483299,553,NA,18,6.0,1988-05-20,1988-05-20,21
66.97795,-46.628502,645,NA,43,4.0,2013-04-30,2013-04-30,153
66.978094,-46.628066,1960,NA,194,4.0,2019-05-07,2019-05-07,174
66.982185,-46.11945,646,NA,43,4.0,2013-05-04,2013-05-04,156
66.98269,-45.04649,1952,NA,194,4.0,2018-05-19,2018-05-19,95
66.982869,-46.119594,1961,NA,194,4.0,2019-05-03,2019-05-03,130
66.983215,-45.044899,650,NA,43,4.0,2013-05-12,2013-05-12,151
66.98418,-45.753159,1904 / 1905,NA,187,1.0 / 4.0,2016-05-04,2016-05-04,143
66.984442,-45.754426,1963,NA,194,4.0,2019-05-09,2019-05-09,124
66.98458,-45.75465,649,NA,43,4.0,2013-05-16,2013-05-16,156
66.984802,-45.754233,1962,NA,194,4.0,2019-05-06,2019-05-06,85
