latitude,longitude,list_of_name_keys,list_of_names,list_of_reference_keys,list_of_method_keys,timestamp_min,timestamp_max,num_measurements
-90.0,0.0,1 / 31,USITASE South Pole-1995 Core / South Pole,1 / 4,1,1430,2003,764
-89.9333,144.3938,23,USITASE ITASE 02-6-SPRESO,1,1,1639,2002,364
-88.9989,59.9744,24,USITASE ITASE 02-7-100K,1,1,1900,2002,103
-86.5025,-107.9903,22,USITASE ITASE 02-4,1,1,1593,2002,410
-84.81833,-59.635,120,FRI38C95_04,69,1,1959,1994,36
-83.16667,-59.575,122,FRI35C95_01,71,1,1949,1994,46
-82.75,-58.69167,148,FRI34C95_03,83,1,1946,1994,49
-82.4391,-135.972,3,USITASE Upstream-C 1995-1996 Core,1,1,1870,1996,127
-82.3671,-119.2855,4,USITASE Central West Antarctic CWA- A,1,1,1939,1993,55
-82.335,-57.82667,110,FRI33C95_06,59,1,1946,1994,49
-82.001,-110.0082,21,USITASE ITASE 02-1,1,1,1782,2002,221
-81.6481,-148.79,2,USITASE Siple Dome 1994 Core,1,1,1891,1994,104
-81.617,-57.917,118,FRI20C90_06,67,1,1936,1989,54
-81.605,-57.88833,112,FRI32C95_07,61,1,1947,1994,48
-81.46306,-60.61472,115,FRI19C90_05,64,1,1938,1989,52
-81.3723,-107.275,5,USITASE Central West Antarctic CWA- D,1,1,1952,1993,42
-80.62,-122.63,9,USITASE ITASE 99-1 (Midpoint),1,1,1724,1998,275
-80.43,-55.98,105,FRI29C95_10,54,1,1953,1994,42
-80.01,-119.43,8,USITASE Ross Ice Drainage System RIDS-C,1,1,1903,1995,93
-80.0,-55.5,109,FRI28C95_11,58,1,1973,1994,22
-79.751,-114.552,30,SEAT10-6,3,1,1966,2010,45
-79.67,-54.89167,107,FRI27C95_12,56,1,1966,1994,29
-79.658,-45.617,93 / 124,BER02S90_02 / BER02C90_02,42 / 73,1,1962,1989,31
-79.61416,-45.72433,165,BER11C95_25,85,1,1000,1994,995
-79.47,-112.09,68,WDC05Q,9,1,1521,2004,484
-79.46,-118.05,7,USITASE Ross Ice Drainage System RIDS-B,1,1,1922,1995,74
-79.46,-112.13,67,WDC05A,9,1,1775,2004,230
-79.3831,-111.239,10,"""USITASE ITASE 00-1 A(wais)""",1,1,1653,2000,348
-79.383,-111.239,26,SEAT10-1,3,1,1974,2010,37
-79.26833,-54.20167,147,FRI26C95_13,83,1,1965,1994,30
-79.1597,-104.9672,15,USITASE ITASE 01-1,1,1,1857,2001,145
-79.123,-113.041,29,SEAT10-5,3,1,1976,2010,35
-79.042,-111.547,27,SEAT10-3,3,1,1973,2010,38
-78.94611,-56.84,138,FRI08S84_341,82,1,1978,1983,6
-78.87167,53.40333,133,FRI03S86_345,82,1,1981,1985,5
-78.84,-53.47333,106,FRI25C95_14,55,1,1965,1994,30
-78.733,-111.4966,11,"""USITASE ITASE 00-2 C""",1,1,1988,1999,12
-78.73,-116.33,6,USITASE Ross Ice Drainage System RIDS-A,1,1,1831,1995,165
-78.72167,-57.8475,113,FRI14C90_336,62,1,1964,1989,26
-78.60611,55.43167,137,FRI07C84_340,82,1,1461,1980,520
-78.488,-111.698,28,SEAT10-4,3,1,1968,2010,43
-78.433,-115.9172,12,"""USITASE ITASE 00-3 D""",1,1,1888,2000,113
-78.42778,-52.50639,144,FRI02C92_246,83,1,1970,1984,15
-78.41333,-52.47333,146,FRI24C95_15,83,1,1967,1994,28
-78.31722,-39.43472,100,FRI21C90_HWF,49,1,1966,1989,24
-78.30833,-57.12833,139,FRI13S86_335,82,1,1984,1985,2
-78.30194,-56.98,90 / 94,FRI13C90_335 / FRI13S90_335,39 / 43,1,1966,1989,26
-78.3,-46.283,96 / 125,BER01S90_01 / BER01C90_01,45 / 74,1,1970,1989,22
-78.24194,-54.04694,136,FRI06S84_241,82,1,1979,1983,5
-78.1202,-95.6463,17,USITASE ITASE 01-3,1,1,1859,2001,143
-78.0832,-120.08228,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0832,-120.08213,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0831,-120.08318,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0831,-120.08304,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0831,-120.082886,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0831,-120.08273,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0831,-120.08258,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0831,-120.08243,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.083,-120.08395,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.083,-120.08379,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.083,-120.08364,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.083,-120.08349,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.083,-120.083336,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0829,-120.084755,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0829,-120.084595,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0829,-120.084435,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0829,-120.084274,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0829,-120.08411,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0829,-120.0764,13,"""USITASE ITASE 00-4 E""",1,1,1799,2000,202
-78.0828,-120.0857,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0828,-120.08555,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0828,-120.08539,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0828,-120.085236,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0828,-120.085075,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0828,-120.08492,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0827,-120.08637,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0827,-120.08608,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0827,-120.08586,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0826,-120.08696,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0826,-120.08667,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0825,-120.087845,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
-78.0825,-120.08754,70,ITASE00-4 to ITASE00-5 Traverse,11,2,1815,2000,9
