latitude,longitude,list_of_name_keys,list_of_names,list_of_reference_keys,list_of_method_keys,timestamp_min,timestamp_max,num_measurements
-90.0,0.0,17 / 25 / 27,Trans-Antarctic Expedition 1957-1958 / McMurdo-Pole Traverse 1960-1961 / South Pole Traverse 1962-1963,6 / 14 / 15,-9999 / 3,1958-01-19,1962-12-01,4
-89.757,42.233,29,Syowa-South Pole Traverse 1968-1969,17,4,1968-12-18,1968-12-18,1
-89.7,-11.0,27,South Pole Traverse 1962-1963,15,3,1963-01-01,1963-01-01,1
-89.633,-141.4,27,South Pole Traverse 1962-1963,15,3,1962-12-01,1962-12-01,1
-89.6,-97.0,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-89.6,-42.0,17,Trans-Antarctic Expedition 1957-1958,6,-9999,1958-01-18,1958-01-18,1
-89.6,60.0,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1964-12-06,1964-12-06,1
-89.533,-94.0,27,South Pole Traverse 1962-1963,15,3,1962-12-01,1962-12-01,1
-89.533,-84.7,27,South Pole Traverse 1962-1963,15,3,1963-01-01,1963-01-01,1
-89.3,-14.8,27,South Pole Traverse 1962-1963,15,3,1963-01-01,1963-01-01,1
-89.167,58.5,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1963-12-08,1963-12-08,1
-89.147,41.133,29,Syowa-South Pole Traverse 1968-1969,17,4,1968-12-15,1968-12-15,1
-89.117,-114.9,27,South Pole Traverse 1962-1963,15,3,1962-12-01,1962-12-01,1
-89.033,-87.1,27,South Pole Traverse 1962-1963,15,3,1963-01-01,1963-01-01,1
-88.967,-140.0,27,South Pole Traverse 1962-1963,15,3,1962-12-01,1962-12-01,1
-88.95,-38.5,27,South Pole Traverse 1962-1963,15,3,1963-01-01,1963-01-01,1
-88.9,-85.8,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-88.75,58.0,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1964-12-09,1964-12-09,1
-88.65,157.5,25,McMurdo-Pole Traverse 1960-1961,14,-9999,1961-02-10,1961-02-10,1
-88.533,-48.9,27,South Pole Traverse 1962-1963,15,3,1963-01-01,1963-01-01,1
-88.45,-140.4,27,South Pole Traverse 1962-1963,15,3,1962-12-01,1962-12-01,1
-88.367,-114.0,27,South Pole Traverse 1962-1963,15,3,1962-12-01,1962-12-01,1
-88.317,58.9,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1964-12-11,1964-12-11,1
-88.233,-83.6,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-88.14,40.883,29,Syowa-South Pole Traverse 1968-1969,17,4,1968-12-12,1968-12-12,1
-88.117,-69.7,27,South Pole Traverse 1962-1963,15,3,1963-01-01,1963-01-01,1
-88.117,170.5,25,McMurdo-Pole Traverse 1960-1961,14,-9999,1961-02-06,1961-02-06,1
-88.1,-31.0,17,Trans-Antarctic Expedition 1957-1958,6,-9999,1958-01-14,1958-01-14,1
