latitude,longitude,list_of_name_keys,list_of_names,list_of_reference_keys,list_of_method_keys,timestamp_min,timestamp_max,num_measurements
61.03049,-46.84974,230,QAS_L,52,14,2009-09-30,2020-04-30,42
61.10991,-46.80867,231,QAS_M,52,14,2016-08-31,2022-09-30,29
61.17254,-46.82225,232,QAS_U,52,14,2008-08-31,2021-06-30,59
61.17259,-46.82212,233,QAS_Uv3,52,14,2022-09-30,2022-12-31,4
61.581,-45.102,344,Stake15,76,4,1983-05-23,1983-08-30,2
61.6,-45.009,345,Stake17,76,4,1983-05-23,1983-08-30,2
61.82667,-44.4,160 / 161,59-600 / 60-00,36,8,1964-01-01,1964-01-01,2
62.01667,-45.03333,159 / 162,59-575 / 60-25,36,8,1964-01-01,1964-01-01,2
62.21333,-45.65,158 / 163,59-550 / 60-50,36,8,1964-01-01,1964-01-01,2
62.21667,-45.06667,165,60-115,36,8,1964-01-01,1964-01-01,1
62.5,-46.0,157,59-525,36,8,1964-01-01,1964-01-01,1
62.50833,-45.23333,164,60-75,36,8,1964-01-01,1964-01-01,1
63.1489,-44.8175,268,South Dome,53,13,1997-04-30,2008-06-30,106
63.149,-44.81741,255,SDM,52,14,2021-07-31,2023-02-28,7
63.149,-44.8174,255,SDM,52,14,2021-06-30,2023-04-30,16
63.19667,-46.30167,156,59-475,36,8,1964-01-01,1964-01-01,1
63.71667,-47.32,155,59-425,36,8,1964-01-01,1964-01-01,1
64.43,-47.50833,154,59-375,36,8,1964-01-01,1964-01-01,1
64.45167,-46.575,153,59-350,36,8,1964-01-01,1964-01-01,1
64.47167,-45.61667,152,59-325,36,8,1964-01-01,1964-01-01,1
64.475,-42.95833,149,59-250,36,8,1964-01-01,1964-01-01,1
64.48392,-49.55122,227,NUK_L,52,14,2009-08-31,2020-06-30,41
64.48667,-43.825,150,59-275,36,8,1964-01-01,1964-01-01,1
64.495,-44.68333,151,59-300,36,8,1964-01-01,1964-01-01,1
64.50937,-49.28113,229,NUK_U,52,14,2009-08-31,2023-04-30,85
64.9452,-49.885,228,NUK_N,52,14,2010-07-31,2013-07-31,15
65.195,-43.78333,148 / 166 / 172 / 305,59-190 / 60-270 / 60-1-23 / 1-25,36 / 63,8 / 9,1960-07-01,1964-01-01,4
65.2058,-49.7443,189,Isua_14,44,-9999,1973-07-01,1973-07-01,1
65.2069,-49.7456,188,Isua_13,44,-9999,1973-07-01,1973-07-01,1
65.2093,-49.75,187,Isua_10,44,-9999,1973-07-01,1973-07-01,1
